Data,Kurs
2003-01-27,2.8544
2003-01-28,2.8282
2003-01-29,2.818
2003-01-30,2.7823
2003-01-31,2.8135
2003-02-03,2.7945
2003-02-04,2.8265
2003-02-05,2.8443
2003-02-06,2.8397
2003-02-07,2.8282
2003-02-10,2.8421
2003-02-11,2.8169
2003-02-12,2.8245
2003-02-13,2.83
2003-02-14,2.8395
2003-02-17,2.8148
2003-02-18,2.8181
2003-02-19,2.8195
2003-02-20,2.8495
2003-02-21,2.8659
2003-02-24,2.8501
2003-02-25,2.863
2003-02-26,2.8607
2003-02-27,2.8696
2003-02-28,2.8765
2003-03-03,2.9237
2003-03-04,2.9552
2003-03-05,2.9572
2003-03-06,2.9337
2003-03-07,2.9341
2003-03-10,2.9546
2003-03-11,2.978
2003-03-12,2.9764
2003-03-13,2.9955
2003-03-14,2.935
2003-03-17,2.9665
2003-03-18,2.9344
2003-03-19,2.9413
2003-03-20,2.9308
2003-03-21,2.9248
2003-03-24,2.9393
2003-03-25,2.9562
2003-03-26,2.935
2003-03-27,2.9437
2003-03-28,2.9604
2003-03-31,2.9846
2003-04-01,3.0157
2003-04-02,2.9797
2003-04-03,2.9409
2003-04-04,2.9394
2003-04-07,2.908
2003-04-08,2.9231
2003-04-09,2.8919
2003-04-10,2.8555
2003-04-11,2.85
2003-04-14,2.8342
2003-04-15,2.8325
2003-04-16,2.8579
2003-04-17,2.8528
2003-04-18,2.8372
2003-04-22,2.8385
2003-04-23,2.8284
2003-04-24,2.8514
2003-04-25,2.8467
2003-04-28,2.8432
2003-04-29,2.8409
2003-04-30,2.8262
2003-05-02,2.8213
2003-05-05,2.8068
2003-05-06,2.811
2003-05-07,2.8454
2003-05-08,2.8541
2003-05-09,2.8744
2003-05-12,2.8705
2003-05-13,2.8587
2003-05-14,2.8535
2003-05-15,2.8662
2003-05-16,2.862
2003-05-19,2.871
2003-05-20,2.8569
2003-05-21,2.9021
2003-05-22,2.8597
2003-05-23,2.8603
2003-05-26,2.8508
2003-05-27,2.8565
2003-05-28,2.8649
2003-05-29,2.8692
2003-05-30,2.8713
2003-06-02,2.8706
2003-06-03,2.8792
2003-06-04,2.8913
2003-06-05,2.8922
2003-06-06,2.8729
2003-06-09,2.8426
2003-06-10,2.8758
2003-06-11,2.8862
2003-06-12,2.8997
2003-06-13,2.8686
2003-06-16,2.8704
2003-06-17,2.8609
2003-06-18,2.8394
2003-06-20,2.8712
2003-06-23,2.8848
2003-06-24,2.9239
2003-06-25,2.9192
2003-06-26,2.8937
2003-06-27,2.9051
2003-06-30,2.8726
2003-07-01,2.8575
2003-07-02,2.8524
2003-07-03,2.861
2003-07-04,2.8813
2003-07-07,2.8633
2003-07-08,2.8573
2003-07-09,2.8885
2003-07-10,2.8779
2003-07-11,2.8741
2003-07-14,2.8621
2003-07-15,2.8634
2003-07-16,2.8673
2003-07-17,2.9195
2003-07-18,2.9112
2003-07-21,2.9109
2003-07-22,2.8867
2003-07-23,2.8871
2003-07-24,2.8543
2003-07-25,2.8545
2003-07-28,2.8591
2003-07-29,2.8496
2003-07-30,2.8245
2003-07-31,2.8337
2003-08-01,2.8323
2003-08-04,2.8512
2003-08-05,2.8445
2003-08-06,2.8538
2003-08-07,2.8441
2003-08-08,2.837
2003-08-11,2.8399
