data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
20210118;0,1251;3,7699;2,8896;0,4863;2,9471;2,6778;2,8282;4,5473;1,2610;4,2291;5,1002;0,1338;3,6314;0,1735;0,6113;2,9038;0,4362;0,4474;0,6023;0,9330;2,3250;0,5037;1,1643;0,5131;0,0784;0,1889;0,2453;0,7123;0,9304;0,0507;2,6794;5,1434;0,3406;0,5803;5,4029;10;010/A/NBP/2021;
20210119;0,1245;3,7416;2,8837;0,4826;2,9382;2,6640;2,8142;4,5342;1,2620;4,2130;5,0897;0,1330;3,5971;0,1734;0,6095;2,8917;0,4370;0,4483;0,5996;0,9302;2,3183;0,5043;1,1567;0,5097;0,0779;0,1902;0,2497;0,7065;0,9238;0,0507;2,6602;5,1133;0,3394;0,5772;5,3873;11;011/A/NBP/2021;
20210120;0,1244;3,7303;2,8844;0,4812;2,9381;2,6626;2,8134;4,5237;1,2663;4,1974;5,1069;0,1321;3,5939;0,1730;0,6082;2,8777;0,4381;0,4462;0,5981;0,9280;2,3129;0,5012;1,1490;0,5060;0,0776;0,1900;0,2501;0,6962;0,9222;0,0508;2,6588;5,1081;0,3384;0,5767;5,3690;12;012/A/NBP/2021;
20210121;0,1247;3,7312;2,9007;0,4814;2,9577;2,6926;2,8205;4,5310;1,2684;4,2053;5,1244;0,1320;3,6079;0,1735;0,6090;2,8897;0,4423;0,4487;0,5990;0,9294;2,3166;0,5049;1,1393;0,5167;0,0776;0,1908;0,2515;0,7051;0,9259;0,0507;2,6652;5,1108;0,3394;0,5773;5,3931;13;013/A/NBP/2021;
20210122;0,1242;3,7255;2,8775;0,4806;2,9339;2,6769;2,8077;4,5354;1,2711;4,2102;5,0920;0,1324;3,5940;0,1737;0,6096;2,8925;0,4391;0,4495;0,5997;0,9302;2,3189;0,5044;1,1381;0,5193;0,0775;0,1877;0,2473;0,6962;0,9214;0,0499;2,6543;5,1048;0,3368;0,5752;5,3812;14;014/A/NBP/2021;
20210125;0,1247;3,7402;2,8886;0,4825;2,9417;2,6950;2,8180;4,5436;1,2715;4,2160;5,1141;0,1327;3,6035;0,1740;0,6107;2,8940;0,4407;0,4515;0,6005;0,9320;2,3231;0,5046;1,1415;0,5140;0,0778;0,1873;0,2456;0,6842;0,9248;0,0496;2,6678;5,1256;0,3391;0,5772;5,3906;15;015/A/NBP/2021;
20210126;0,1251;3,7512;2,8866;0,4839;2,9425;2,7002;2,8254;4,5497;1,2700;4,2183;5,1235;0,1332;3,6139;0,1741;0,6115;2,8979;0,4381;0,4513;0,6014;0,9332;2,3262;0,5076;1,1469;0,5118;0,0780;0,1861;0,2454;0,6862;0,9266;0,0497;2,6671;5,1368;0,3393;0,5797;5,3979;16;016/A/NBP/2021;
20210127;0,1251;3,7507;2,8974;0,4839;2,9469;2,7089;2,8283;4,5468;1,2638;4,2215;5,1516;0,1331;3,6136;0,1747;0,6112;2,8961;0,4377;0,4502;0,6015;0,9326;2,3247;0,5096;1,1496;0,5116;0,0780;0,1872;0,2484;0,7003;0,9271;0,0499;2,6695;5,1437;0,3392;0,5800;5,3962;17;017/A/NBP/2021;

kod ISO;THB;USD;AUD;HKD;CAD;NZD;SGD;EUR;HUF;CHF;GBP;UAH;JPY;CZK;DKK;ISK;NOK;SEK;HRK;RON;BGN;TRY;ILS;CLP;PHP;MXN;ZAR;BRL;MYR;RUB;IDR;INR;KRW;CNY;XDR;
nazwa waluty;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
liczba jednostek;1;1;1;1;1;1;1;1;100;1;1;1;100;1;1;100;1;1;1;1;1;1;1;100;1;1;1;1;1;1;10000;100;100;1;1;
